Product Title,Creation Method,Language,Product Reference Code,Product Details Translation,Product Type,Mode of Transportation,Transport Mode,Tour Duration,Themes 1,Check Box Theme 1,Check Box Theme 1,,Optional Theme 2,Check Box Theme 1,Check Box Theme2,Images (Drive Link),Pick-up Option,Meeting Point,Meeting Point Description,End Same as Start,Tour Duration,Attractions,Attraction Description,Time Spent,Admission Included,"Offer in-person, audio or written Guides",Guide Type,In-person Guides,Audio Guides,Written Guides,Guide Driver,Inclusions,Inclusion Category,Exclusions,Exclusion Category,Additional Cost,USP,Private Tour?,Maximum Participants,General,Wheelchair accessible?,Stroller Accessible?,Service Animals Allowed?,Can travelers easily arrive/depart on public transportation?,Are infants required to sit on laps?,Are infant seats available?,Another Accessibility,Health Restriction,Physical Difficulty Level,Phone Number,Pricing Type,Participants Age,Youth & Child need accompanied?,Maximum Traveler Per booking,Tour Attributes,Price Currency ,Schedule Start,Experience Start,Retail Price,Dates Prices Apply,Time Price Apply,Booking Type,Booking Cut-off,Booking Confirmation,Cancellation Policy,Traveler Info Required,Select Personal Information,Ticket Format,Number of tickets Per Booking,Redemption Instructions,Add Intro Offer,Listing for this Product,Listing Location,Viator Link,Tripadvisor Link,Product ID
Pisa Afternoon Tour from Florence + Skip-the-Line Access,Manual,English,,,Tour,Land Transport,Bus/Coach; Minibus; Minivan; Walking,One day or Less,"Art, Design & Fashion",Architecture,,,,,,https://drive.google.com/drive/folders/1-rWux6BpvJP7YqqMbf5FO4uVgg59ofzj,"No, we meet all travelers at a meeting point","Piazzale Montelungo, Firenze FI, Italy","Located within a 5-10 minute walking distance from Florence Central Station. Please make sure to arrive 15 minutes before the tour starts. You will find us in fuchsia shirts.",Yes,5 hrs and 30 minutes,"Florence, Florence, Tuscany","Departure at 02:15 PM. Begin your adventure at the vibrant Tours & News Kiosk, where you'll meet your friendly guide and fellow travelers. Get ready to embark on an unforgettable journey to Pisa!",Pass by without Stopping,No,Yes,Official,"English, Spanish","English, Spanish","English, Spanish",No,Roundtrip journey,,,,,"Embark on an unforgettable journey to Pisa, where history and architecture intertwine to create a mesmerizing experience. Our expert guides will lead you through the enchanting Piazza dei Miracoli, home to iconic landmarks like the Cathedral and Baptistery. With priority access to the Leaning Tower, you'll ascend to breathtaking heights for panoramic views of the city. Discover the magic of Pisa with us and make memories to last a lifetime. Reserve your spot now!",No,22,Official Reseller,No,No,No,Yes,No,Yes,,This tour is not suitable for guests with wheelchairs or impaired mobility.,Easy,39 338 495 8501,Per Person,"Adult: 13-99; Infant: 0-3; Child: 4-7; Youth: 8-12",Yes,15,Pisa - Excl. Leaning Tower,EUR,"April 14, 2026",Start Time,"Adult: 139; Infant: 0; Child: 69; Youth: 69",,14:15,Relatively to Start Time,12,Instant Confirmation,Standard,"Lead Traveler's Name; Phone Number",,Paper or Mobile ticket Accepted,One per Booking,"No, This is a direct entry Ticket","No thanks, Skip",,,https://www.viator.com/tours/Florence/Premier-Pisa-Afternoon-Tour-from-Florence-Skip-the-Line-Access/d519-187808P50,https://www.tripadvisor.com/AttractionProductReview-g187895-d27742572-Pisa_Afternoon_Tour_from_Florence_Skip_the_Line_Access-Florence_Tuscany.html,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Pisa, Pisa, Province of Pisa, Tuscany","After a short drive through the Tuscan countryside, you'll arrive in Pisa. Step into the charming city of Pisa, known for its rich history and iconic landmarks. Get ready to explore the wonders of Pisa, including the famous Leaning Tower!",Pass by without Stopping,No,,,,,,,Expert guides,,,,,,,,,,,,,,,,Children under 8 years old are not allowed to climb the Leaning Tower.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Piazza dei Miracoli, Piazza del Duomo, 56126, Pisa Italy","Your guide will lead you directly to the medieval entrance gate, Porta Santa Maria. From here, you'll witness the extraordinary view of Piazza dei Miracoli with its white, marble architecture and neat grass lawns. Immerse yourself in the awe-inspiring beauty of Piazza dei Miracoli, home to magnificent monuments such as the Cathedral, Baptistery, Monumental Graveyard, and the iconic Leaning Tower. Your knowledgeable guide will share fascinating stories and historical insights as you explore this UNESCO World Heritage Site.",1hr,N/A,,,,,,,Guided tour of Pisa and Piazza dei Miracoli with professional guide,,,,,,,,,,,,,,,,Comfortable shoes are recommended for walking tours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Duomo di Pisa, Piazza del Duomo, 56126, Pisa Italy","After admiring the exterior of the Cathedral, you'll have the opportunity to explore its interiors, discovering its remarkable art and architecture. Step inside the magnificent Pisa Cathedral and marvel at its stunning interiors adorned with intricate artworks and ornate designs. Delve into the rich history and religious significance of this architectural masterpiece as your guide provides enlightening commentary.",1hr,N/A,,,,,,,Admission fee to Pisa Cathedral,,,,,,,,,,,,,,,,"Please be advised that it's not a private tour but it's a group tour, and the mode of transportation is selected based on the number of participants. We prioritize our guests' comfort and aim to ensure that everyone has a great time. Our vehicles are equipped with air conditioning to ensure a comfortable ride, regardless of the weather.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Pisa, Pisa, Province of Pisa, Tuscany","Your guide will take you to explore the Baptistery and Monumental Graveyard, sharing insights into their history and significance. Continue your journey of discovery as you explore the Baptistery and Monumental Graveyard, both renowned for their exquisite architecture and artistic treasures. Learn about their fascinating stories and cultural significance from your knowledgeable guide.",1hr,N/A,,,,,,,All Fees and Taxes,,,,,,,,,,,,,,,,"Important Notice for Last-Minute Bookings: Please be advised that reservations made less than 12 hours prior to tour departure cannot be guaranteed. To ensure you receive all necessary communications and updates regarding your tour, it is crucial that you provide an email address and an active phone number that you check regularly at the time of booking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Leaning Tower of Pisa, Piazza del Duomo Piazza dei Miracoli, 56126, Pisa Italy","Finally, you'll visit the world-famous Leaning Tower of Pisa, discovering all its secrets and enjoying fun photo opportunities. Experience the thrill of standing next to the iconic Leaning Tower of Pisa, a UNESCO World Heritage Site and one of Italy's most famous landmarks. Capture breathtaking views of the city from atop the tower and learn about its intriguing history and architectural marvels.",90 minutes,Yes,,,,,,,Leaning Tower entrance tickets with priority access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Pisa, Pisa, Province of Pisa, Tuscany","Before heading back to Florence, you'll have some free time to explore Pisa on your own or capture more memorable moments. Enjoy leisure time to wander through the picturesque streets of Pisa, indulge in local cuisine, or shop for souvenirs to commemorate your visit. Take advantage of this opportunity to create lasting memories in this enchanting city.",1hr,,,,,,,,Free time in Pisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pisa Itinerary Stop,,,,,,,,,,,,,,,,,,,,,,"Florence, Florence, Tuscany","Return to Florence at the designated meeting point. Conclude your half-day adventure as you return to Florence, filled with unforgettable memories of your journey to Pisa. Bid farewell to your guide and fellow travelers, and cherish the experiences shared during this remarkable excursion.",Pass by without Stopping,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cinque Terre Full-Day Tour from Milan: Riomaggiore, Manarola &…",Manual,English,108,Manual Translation,Tour,Land Transport,Bus/Coach; Minibus; Train/Rail,One day or Less,History & Culture,Culture,,,Travel,Shore Excursion,Sightseeing,https://drive.google.com/drive/folders/17NvbPnhFf_0d3VNgxo3Mo_lEQQwHxNwE,"No, we meet all travelers at a meeting point","Piazza IV Novembre, 20124 Milano MI, Italy","Milano Centrale station, Piazza IV Novembre in front of the Hotel Gallia bus stop. You will find us in fuchsia shirts. Please make sure to arrive 15 minutes before the tour starts.",Yes,13 Hrs and 30 minutes,"Piazza IV Novembre, 20124 Milano MI, Italy","Departure from Milan: Meet your guide at Piazza IV Novembre, in front of Hotel Gallia at the designated bus stop. Board a comfortable, air-conditioned GT coach and begin your scenic journey toward the Ligurian coast.",150 minutes,N/A,Yes,Official,"English, Spanish","English, Spanish","English, Spanish",No,Expert tour leader,Other,Hotel pickup and drop-off,Other,No,"Experience the enchanting beauty of Cinque Terre, a UNESCO World Heritage Site, nestled along the rugged coast of South Liguria near La Spezia. Our guided tour takes you on a captivating journey through the main 5 Terre towns of Monterosso al Mare, Vernazza, Corniglia, Manarola, and Riomaggiore.",No,22,I am not acting as a reseller,No,No,No,Yes,Yes,No,,"Panoramic Ferry Ride: Seasonal and subject to availability depending on sea and weather conditions.",Easy,39 338 495 8501,Per Person,"Adult: 12-99; Infant: 0-3; Child: 4-11",No,15,,EUR,"May 1, 2026",Start Time,"Adult: 275; Infant: 0; Child: 157",Mon;Wed;Sat,07:00,Relatively to Start Time,9,Instant Confirmation,Standard,"Lead Traveler's Name; Phone Number","Full Name; Dates of Birth",Paper or Mobile ticket Accepted,One per Booking,"No, This is a direct entry Ticket","No thanks, Skip",,,https://www.viator.com/tours/Milan/Full-Day-Cinque-Terre-Tour-from-Milan-Riomaggiore-Manarola/d512-187808P82,https://www.tripadvisor.com/AttractionProductReview-g187849-d33344981-Cinque_Terre_Full_Day_Tour_from_Milan_Riomaggiore_Manarola-Milan_Lombardy.html,187808P109
"All-in-One Lake Como, Bellagio & Lugano from Milan +Scenic Cruise",Manual,English,1578,Manual Translation,Tour,Land Transport,Bus/Coach; Minivan; Train/Rail,One day or Less,Outdoor & Adventure,Outdoors,,,Travel,Shore Excursion,Sightseeing,https://drive.google.com/drive/folders/1EiaM2-QrSKPodLRS_5JV4UTdUTJOssWu?usp=drive_link,"No, we meet all travelers at a meeting point","Piazza IV Novembre, Milano MI, Italy","Milano Centrale station, Piazza IV Novembre in front of the Hotel Gallia bus stop",Yes,10 to 11 Hrs,"Piazza IV Novembre, Milano MI, Italy","Departure from Milan: Meet your tour leader at Piazza IV Novembre, in front of Hotel Gallia. Board your air-conditioned GT coach and begin your journey toward the lakes and the Alps.",90 minutes,N/A,Yes,Official,"English, Spanish","English, Spanish","English, Spanish",No,Roundtrip transportation by GT coach or minivan,Other,Hotel pickup and drop-off,Other,No,"Embark on a luxurious full-day journey through Italy and Switzerland, exploring the iconic towns of Como, Bellagio, and Lugano.",No,22,I am not acting as a reseller,No,No,No,No,Yes,No,Please note that for logistical reasons the order of the itinerary may be subject to change,,Easy,39 338 495 8501,Per Person,"Adult: 12-99; Infant: 0-3; Child: 4-11",Yes,15,,EUR,"May 8, 2026",Start Time,"Adult: 297; Infant: 0; Child: 195",Mon;Tue;Wed;Thu;Fri;Sat;Sun,08:00,Relatively to Start Time,9,Instant Confirmation,Standard,"Lead Traveler's Name; Phone Number",,Paper or Mobile ticket Accepted,One per Booking,"No, This is a direct entry Ticket","No thanks, Skip",Milano Adventures,"Milan, Milan, Lombardy",https://www.viator.com/tours/Milan/All-in-one-Lake-Como-Bellagio-and-Lugano-from-Milan-Scenic-Cruise/d512-187808P57,https://www.tripadvisor.com/AttractionProductReview-g187849-d33353135-All_in_One_Lake_Como_Bellagio_Lugano_from_Milan_Scenic_Cruise-Milan_Lombardy.html,187808P57
Private Full Day Trip to Lake Como from Milan,Manual,English,2230,Manual Translation,Tour,Land Transport,Luxury Car;Minivan,One day or Less,Outdoor & Adventure,Outdoors,,,Travel,Shore Excursion,Sightseeing,https://drive.google.com/drive/folders/15e-BkgDqAdnwtrKFtuGvr5CnVL5gVn4W,We can pick up travelers or meet them at a meeting point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza and Gelato Cooking Class in Milan - Small Group Only,Manual,English,1969,Manual Translation,Activity,Classes/Lessons/Workshops,,,Food & Drink,Baking,Cooking,Food & Drink,,,,https://drive.google.com/drive/folders/1BiefAsLJdNA54tpfdo4sQHIbBQ9zN5MQ?usp=drive_link,"No, we meet all travelers at a meeting point","Via Giovanni Battista Sammartini, 1, 20125 Milano MI, Italy","AT THE INFO POINT INSIDE MERCATO CENTRALE, MILAN. In Via Giovanni Battista Sammartini, 1 (at the corner with piazza IV Novembre), next to Central Rail Station. Look for our tour leader or chef!",Yes,3Hours,,,,,Yes,Official,English,English,English,,All necessary ingredients,Other,Hotel pickup and drop-off,Other,No,"Our Pizza and Gelato Cooking Class in Milan offers an exclusive and immersive culinary experience that stands out from the rest. Held in a state-of-the-art cooking studio in the heart of Milan.",No,8,,No,No,No,Yes,No,Yes,Suitable for vegetarians! (please inform us in advance),,,338 495 8501,Per Person,"Adult: 13-99; Infant: 0-3; Child: 4-12",Yes,8,,EUR,"July 13, 2026",Start Time,"Adult: 197; Infant: 0; Child: 153",Mon;Tue;Wed;Thu;Fri;Sat;Sun,03:00,Relatively to Start Time,9,Instant Confirmation,Standard,"Lead Traveler's Name; Phone Number",,Mobile or Paper Ticket accepted,One per Booking,"No, This is a direct entry Ticket","No thanks, Skip",Milano Adventures,"Milan, Milan, Lombardy",https://www.viator.com/tours/Milan/Pizza-and-Gelato-Cooking-Class-in-Milan-Small-Group-Only/d512-187808P65,https://www.tripadvisor.com/AttractionProductReview-g187849-d28041866-Pizza_and_Gelato_Cooking_Class_in_Milan_Small_Group_Only-Milan_Lombardy.html,187808P65
Lake Como and Lugano Full Day Trip from Milan,Manual,English,101,Manual Translation,Tour,Land Transport,Minibus; Minivan; Train/Rail,One day or Less,Outdoor & Adventure,Outdoors,,,Travel,Shore Excursion,Sightseeing,https://drive.google.com/drive/folders/1kvtwOeaFaxFIi5D_n0curUV46nrCXSmw?usp=drive_link,"No, we meet all travelers at a meeting point","Largo Cairoli, 18, 20121 Milano MI, Italy",Milan Visitor Centre - corner of Via Cusani with Largo Cairoli (MM1 Cairoli - MM2 Lanza),Yes,10 to 11 Hrs,"Largo Cairoli, Milan Italy","Departure from Milan: Meet your guide at the Milan Visitor Centre, at the corner of Via Cusani and Largo Cairoli, and board your comfortable, fully-fitted GT coach.",90 minutes,N/A,Yes,Official,English,English,English,No,Free time in Como and Lugano,Other,,,,"Discover the beauty of two iconic lakes in one unforgettable day trip from Milan.",No,22,I am not acting as a reseller,No,No,No,Yes,Yes,No,,,Easy,(888) 779-1743,Per Person,"Adult: 12-99; Infant: 0-3; Child: 4-11",Yes,15,,,,,,,,,,,,,,,,,,,,,,,
